art_id,ann,criteriaID,annotation
9,gpt4-o,HeadAcc1,3
9,gpt4-o,LedePres,1
9,gpt4-o,NegTarg1,1
9,gpt4-o,ArtBias,3
10,gpt4-o,SensLang,3
10,gpt4-o,Type,1
10,gpt4-o,LedePres,1
10,gpt4-o,NegTarg1,1
10,gpt4-o,NegTarg2,['4']
10,gpt4-o,HeadAcc1,3
10,gpt4-o,ArtBias,3
11,gpt4-o,NegTarg1,1
11,gpt4-o,LedePres,2
11,gpt4-o,SensLang,4
11,gpt4-o,NegTarg2,['-1']
11,gpt4-o,Type,1
11,gpt4-o,ArtBias,4
11,gpt4-o,HeadAcc1,4
12,gpt4-o,SensLang,3
12,gpt4-o,NegTarg1,1
12,gpt4-o,HeadAcc1,4
12,gpt4-o,LedePres,1
12,gpt4-o,Type,1
12,gpt4-o,NegTarg2,['1']
12,gpt4-o,ArtBias,3
13,gpt4-o,HeadAcc1,4
13,gpt4-o,ArtBias,4
13,gpt4-o,Type,1
13,gpt4-o,NegTarg2,['-1']
13,gpt4-o,NegTarg1,1
13,gpt4-o,LedePres,2
13,gpt4-o,SensLang,4
14,gpt4-o,HeadAcc1,4
14,gpt4-o,ArtBias,3
14,gpt4-o,LedePres,1
14,gpt4-o,Type,1
14,gpt4-o,NegTarg1,1
14,gpt4-o,NegTarg2,['1']
14,gpt4-o,SensLang,3
15,gpt4-o,Type,2
15,gpt4-o,NegTarg2,['2']
15,gpt4-o,LedePres,1
15,gpt4-o,SensLang,1
15,gpt4-o,HeadAcc1,2
15,gpt4-o,ArtBias,1
15,gpt4-o,NegTarg1,2
16,gpt4-o,Type,1
16,gpt4-o,NegTarg1,1
16,gpt4-o,HeadAcc1,4
16,gpt4-o,ArtBias,4
16,gpt4-o,LedePres,2
16,gpt4-o,NegTarg2,['-1']
16,gpt4-o,SensLang,4
17,gpt4-o,LedePres,2
17,gpt4-o,HeadAcc1,4
17,gpt4-o,ArtBias,3
17,gpt4-o,NegTarg2,['-1']
17,gpt4-o,SensLang,3
17,gpt4-o,NegTarg1,1
17,gpt4-o,Type,1
18,gpt4-o,LedePres,1
18,gpt4-o,ArtBias,4
18,gpt4-o,NegTarg1,1
18,gpt4-o,NegTarg2,['-1']
18,gpt4-o,Type,1
18,gpt4-o,SensLang,4
18,gpt4-o,HeadAcc1,3
19,gpt4-o,HeadAcc1,4
19,gpt4-o,ArtBias,4
19,gpt4-o,NegTarg2,['4']
19,gpt4-o,Type,1
19,gpt4-o,SensLang,3
19,gpt4-o,NegTarg1,1
19,gpt4-o,LedePres,1
20,gpt4-o,NegTarg2,['-1']
20,gpt4-o,NegTarg1,1
20,gpt4-o,SensLang,3
20,gpt4-o,Type,1
20,gpt4-o,HeadAcc1,4
20,gpt4-o,ArtBias,3
20,gpt4-o,LedePres,2
21,gpt4-o,SensLang,3
21,gpt4-o,Type,5
21,gpt4-o,NegTarg1,1
21,gpt4-o,LedePres,1
21,gpt4-o,NegTarg2,['-1']
21,gpt4-o,HeadAcc1,4
21,gpt4-o,ArtBias,2
22,gpt4-o,LedePres,2
22,gpt4-o,SensLang,4
22,gpt4-o,Type,1
22,gpt4-o,NegTarg1,1
22,gpt4-o,NegTarg2,['-1']
22,gpt4-o,ArtBias,4
22,gpt4-o,HeadAcc1,4
23,gpt4-o,LedePres,2
23,gpt4-o,SensLang,3
23,gpt4-o,HeadAcc1,4
23,gpt4-o,ArtBias,4
23,gpt4-o,NegTarg1,1
23,gpt4-o,NegTarg2,['4']
23,gpt4-o,Type,1
24,gpt4-o,ArtBias,2
24,gpt4-o,NegTarg2,['4']
24,gpt4-o,HeadAcc1,4
24,gpt4-o,Type,1
24,gpt4-o,SensLang,3
24,gpt4-o,NegTarg1,1
24,gpt4-o,LedePres,2
25,gpt4-o,NegTarg2,['4']
25,gpt4-o,Type,1
25,gpt4-o,SensLang,3
25,gpt4-o,ArtBias,3
25,gpt4-o,HeadAcc1,4
25,gpt4-o,LedePres,2
25,gpt4-o,NegTarg1,1
26,gpt4-o,Type,1
26,gpt4-o,SensLang,4
26,gpt4-o,HeadAcc1,4
26,gpt4-o,NegTarg2,['1']
26,gpt4-o,NegTarg1,1
26,gpt4-o,ArtBias,3
26,gpt4-o,LedePres,2
27,gpt4-o,SensLang,4
27,gpt4-o,Type,1
27,gpt4-o,HeadAcc1,4
27,gpt4-o,LedePres,1
27,gpt4-o,ArtBias,3
27,gpt4-o,NegTarg2,['1']
27,gpt4-o,NegTarg1,1
28,gpt4-o,Type,2
28,gpt4-o,NegTarg1,2
28,gpt4-o,HeadAcc1,4
28,gpt4-o,ArtBias,1
28,gpt4-o,LedePres,1
28,gpt4-o,NegTarg2,['2']
28,gpt4-o,SensLang,2
29,gpt4-o,LedePres,2
29,gpt4-o,NegTarg1,1
29,gpt4-o,SensLang,3
29,gpt4-o,NegTarg2,['-1']
29,gpt4-o,ArtBias,4
29,gpt4-o,Type,1
29,gpt4-o,HeadAcc1,4
30,gpt4-o,ArtBias,4
30,gpt4-o,NegTarg2,['4']
30,gpt4-o,SensLang,3
30,gpt4-o,HeadAcc1,4
30,gpt4-o,NegTarg1,1
30,gpt4-o,LedePres,2
30,gpt4-o,Type,1
31,gpt4-o,ArtBias,3
31,gpt4-o,HeadAcc1,4
31,gpt4-o,LedePres,2
31,gpt4-o,NegTarg1,1
31,gpt4-o,NegTarg2,['1']
31,gpt4-o,SensLang,3
31,gpt4-o,Type,1
32,gpt4-o,Type,2
32,gpt4-o,NegTarg1,2
32,gpt4-o,ArtBias,1
32,gpt4-o,HeadAcc1,3
32,gpt4-o,LedePres,1
32,gpt4-o,NegTarg2,['1']
32,gpt4-o,SensLang,2
33,gpt4-o,HeadAcc1,4
33,gpt4-o,ArtBias,4
33,gpt4-o,Type,1
33,gpt4-o,SensLang,4
33,gpt4-o,NegTarg2,['-1']
33,gpt4-o,NegTarg1,1
33,gpt4-o,LedePres,1
34,gpt4-o,ArtBias,4
34,gpt4-o,Type,1
34,gpt4-o,NegTarg2,['-1']
34,gpt4-o,SensLang,4
34,gpt4-o,HeadAcc1,3
34,gpt4-o,NegTarg1,1
34,gpt4-o,LedePres,1
35,gpt4-o,Type,1
35,gpt4-o,LedePres,2
35,gpt4-o,ArtBias,4
35,gpt4-o,NegTarg2,['-1']
35,gpt4-o,SensLang,3
35,gpt4-o,NegTarg1,1
35,gpt4-o,HeadAcc1,4
36,gpt4-o,ArtBias,3
36,gpt4-o,NegTarg1,1
36,gpt4-o,LedePres,1
36,gpt4-o,NegTarg2,['-1']
36,gpt4-o,HeadAcc1,4
36,gpt4-o,Type,5
36,gpt4-o,SensLang,3
37,gpt4-o,NegTarg1,1
37,gpt4-o,Type,5
37,gpt4-o,HeadAcc1,3
37,gpt4-o,SensLang,2
37,gpt4-o,NegTarg2,['1']
37,gpt4-o,ArtBias,3
37,gpt4-o,LedePres,1
38,gpt4-o,HeadAcc1,4
38,gpt4-o,SensLang,4
38,gpt4-o,NegTarg2,['-1']
38,gpt4-o,ArtBias,4
38,gpt4-o,LedePres,2
38,gpt4-o,NegTarg1,1
38,gpt4-o,Type,1
39,gpt4-o,NegTarg2,['1']
39,gpt4-o,SensLang,3
39,gpt4-o,LedePres,1
39,gpt4-o,Type,1
39,gpt4-o,ArtBias,2
39,gpt4-o,HeadAcc1,4
39,gpt4-o,NegTarg1,2
40,gpt4-o,LedePres,1
40,gpt4-o,ArtBias,4
40,gpt4-o,HeadAcc1,4
40,gpt4-o,NegTarg1,1
40,gpt4-o,SensLang,4
40,gpt4-o,Type,1
40,gpt4-o,NegTarg2,['-1']
41,gpt4-o,ArtBias,3
41,gpt4-o,HeadAcc1,4
41,gpt4-o,LedePres,2
41,gpt4-o,Type,1
41,gpt4-o,NegTarg1,1
41,gpt4-o,SensLang,3
41,gpt4-o,NegTarg2,['2']
42,gpt4-o,SensLang,2
42,gpt4-o,NegTarg2,['1']
42,gpt4-o,NegTarg1,2
42,gpt4-o,HeadAcc1,4
42,gpt4-o,ArtBias,2
42,gpt4-o,LedePres,1
42,gpt4-o,Type,2
43,gpt4-o,Type,1
43,gpt4-o,HeadAcc1,4
43,gpt4-o,ArtBias,4
43,gpt4-o,LedePres,2
43,gpt4-o,NegTarg1,1
43,gpt4-o,SensLang,4
43,gpt4-o,NegTarg2,['-1']
44,gpt4-o,NegTarg2,['1']
44,gpt4-o,NegTarg1,1
44,gpt4-o,HeadAcc1,4
44,gpt4-o,ArtBias,3
44,gpt4-o,LedePres,1
44,gpt4-o,Type,1
44,gpt4-o,SensLang,3
45,gpt4-o,NegTarg1,1
45,gpt4-o,NegTarg2,['-1']
45,gpt4-o,ArtBias,3
45,gpt4-o,HeadAcc1,4
45,gpt4-o,SensLang,3
45,gpt4-o,Type,1
45,gpt4-o,LedePres,1
46,gpt4-o,SensLang,3
46,gpt4-o,LedePres,1
46,gpt4-o,NegTarg2,['-1']
46,gpt4-o,HeadAcc1,4
46,gpt4-o,ArtBias,3
46,gpt4-o,NegTarg1,1
46,gpt4-o,Type,1
47,gpt4-o,LedePres,1
47,gpt4-o,HeadAcc1,4
47,gpt4-o,NegTarg1,1
47,gpt4-o,Type,1
47,gpt4-o,SensLang,3
47,gpt4-o,NegTarg2,['-1']
47,gpt4-o,ArtBias,3
48,gpt4-o,SensLang,3
48,gpt4-o,NegTarg1,1
48,gpt4-o,ArtBias,3
48,gpt4-o,HeadAcc1,4
48,gpt4-o,Type,1
48,gpt4-o,NegTarg2,"['1', '3', '2']"
48,gpt4-o,LedePres,1
49,gpt4-o,LedePres,1
49,gpt4-o,NegTarg1,1
49,gpt4-o,Type,2
49,gpt4-o,SensLang,3
49,gpt4-o,ArtBias,2
49,gpt4-o,NegTarg2,['1']
49,gpt4-o,HeadAcc1,4
50,gpt4-o,LedePres,1
50,gpt4-o,NegTarg1,1
50,gpt4-o,NegTarg2,['-1']
50,gpt4-o,HeadAcc1,4
50,gpt4-o,ArtBias,4
50,gpt4-o,SensLang,4
50,gpt4-o,Type,1
51,gpt4-o,NegTarg2,['4']
51,gpt4-o,SensLang,4
51,gpt4-o,ArtBias,3
51,gpt4-o,HeadAcc1,4
51,gpt4-o,Type,1
51,gpt4-o,NegTarg1,1
51,gpt4-o,LedePres,1
52,gpt4-o,LedePres,1
52,gpt4-o,SensLang,3
52,gpt4-o,ArtBias,3
52,gpt4-o,Type,1
52,gpt4-o,HeadAcc1,4
52,gpt4-o,NegTarg1,1
52,gpt4-o,NegTarg2,['-1']
53,gpt4-o,ArtBias,3
53,gpt4-o,LedePres,1
53,gpt4-o,NegTarg2,['1']
53,gpt4-o,SensLang,4
53,gpt4-o,NegTarg1,1
53,gpt4-o,HeadAcc1,4
53,gpt4-o,Type,1
54,gpt4-o,Type,3
54,gpt4-o,ArtBias,2
54,gpt4-o,SensLang,2
54,gpt4-o,NegTarg2,['4']
54,gpt4-o,NegTarg1,1
54,gpt4-o,LedePres,1
54,gpt4-o,HeadAcc1,4
55,gpt4-o,NegTarg2,['4']
55,gpt4-o,NegTarg1,1
55,gpt4-o,LedePres,2
55,gpt4-o,ArtBias,4
55,gpt4-o,HeadAcc1,4
55,gpt4-o,Type,1
55,gpt4-o,SensLang,3
56,gpt4-o,Type,5
56,gpt4-o,NegTarg1,1
56,gpt4-o,HeadAcc1,4
56,gpt4-o,ArtBias,3
56,gpt4-o,LedePres,1
56,gpt4-o,SensLang,3
56,gpt4-o,NegTarg2,['-1']
57,gpt4-o,NegTarg1,1
57,gpt4-o,HeadAcc1,3
57,gpt4-o,NegTarg2,['4']
57,gpt4-o,Type,1
57,gpt4-o,ArtBias,3
57,gpt4-o,LedePres,2
57,gpt4-o,SensLang,3
58,gpt4-o,NegTarg2,['4']
58,gpt4-o,LedePres,1
58,gpt4-o,NegTarg1,1
58,gpt4-o,HeadAcc1,4
58,gpt4-o,SensLang,3
58,gpt4-o,Type,1
58,gpt4-o,ArtBias,3
59,gpt4-o,HeadAcc1,3
59,gpt4-o,ArtBias,3
59,gpt4-o,SensLang,3
59,gpt4-o,Type,2
59,gpt4-o,NegTarg2,['4']
59,gpt4-o,NegTarg1,1
59,gpt4-o,LedePres,1
60,gpt4-o,ArtBias,3
60,gpt4-o,HeadAcc1,4
60,gpt4-o,Type,1
60,gpt4-o,SensLang,3
60,gpt4-o,NegTarg2,['4']
60,gpt4-o,LedePres,2
60,gpt4-o,NegTarg1,1
61,gpt4-o,NegTarg2,['-1']
61,gpt4-o,Type,1
61,gpt4-o,SensLang,4
61,gpt4-o,NegTarg1,1
61,gpt4-o,LedePres,2
61,gpt4-o,ArtBias,4
61,gpt4-o,HeadAcc1,4
62,gpt4-o,NegTarg2,['4']
62,gpt4-o,NegTarg1,1
62,gpt4-o,Type,2
62,gpt4-o,LedePres,1
62,gpt4-o,HeadAcc1,3
62,gpt4-o,ArtBias,2
62,gpt4-o,SensLang,4
63,gpt4-o,HeadAcc1,4
63,gpt4-o,NegTarg2,['1']
63,gpt4-o,LedePres,2
63,gpt4-o,NegTarg1,1
63,gpt4-o,SensLang,2
63,gpt4-o,ArtBias,3
63,gpt4-o,Type,1
64,gpt4-o,ArtBias,3
64,gpt4-o,HeadAcc1,3
64,gpt4-o,NegTarg1,1
64,gpt4-o,SensLang,3
64,gpt4-o,LedePres,1
64,gpt4-o,NegTarg2,['1']
64,gpt4-o,Type,1
65,gpt4-o,HeadAcc1,3
65,gpt4-o,NegTarg1,2
65,gpt4-o,LedePres,1
65,gpt4-o,NegTarg2,"['1','3']"
65,gpt4-o,ArtBias,2
65,gpt4-o,Type,1
65,gpt4-o,SensLang,3
66,gpt4-o,ArtBias,3
66,gpt4-o,HeadAcc1,4
66,gpt4-o,NegTarg1,1
66,gpt4-o,LedePres,1
66,gpt4-o,SensLang,3
66,gpt4-o,Type,1
67,gpt4-o,NegTarg2,['4']
67,gpt4-o,HeadAcc1,3
67,gpt4-o,ArtBias,3
67,gpt4-o,Type,1
67,gpt4-o,SensLang,3
67,gpt4-o,LedePres,1
67,gpt4-o,NegTarg1,1
68,gpt4-o,HeadAcc1,3
68,gpt4-o,ArtBias,1
68,gpt4-o,NegTarg1,2
68,gpt4-o,SensLang,2
68,gpt4-o,LedePres,1
68,gpt4-o,NegTarg2,['1']
68,gpt4-o,Type,1
69,gpt4-o,SensLang,3
69,gpt4-o,LedePres,2
69,gpt4-o,HeadAcc1,4
69,gpt4-o,Type,1
69,gpt4-o,NegTarg1,1
69,gpt4-o,NegTarg2,['4']
69,gpt4-o,ArtBias,4
70,gpt4-o,NegTarg2,['1']
70,gpt4-o,NegTarg1,1
70,gpt4-o,ArtBias,3
70,gpt4-o,SensLang,3
70,gpt4-o,HeadAcc1,4
70,gpt4-o,LedePres,1
70,gpt4-o,Type,1
71,gpt4-o,SensLang,2
71,gpt4-o,NegTarg1,2
71,gpt4-o,LedePres,2
71,gpt4-o,ArtBias,2
71,gpt4-o,HeadAcc1,4
71,gpt4-o,NegTarg2,['1']
71,gpt4-o,Type,1
72,gpt4-o,ArtBias,2
72,gpt4-o,Type,2
72,gpt4-o,NegTarg2,['4']
72,gpt4-o,SensLang,2
72,gpt4-o,LedePres,1
72,gpt4-o,NegTarg1,2
72,gpt4-o,HeadAcc1,4
73,gpt4-o,LedePres,1
73,gpt4-o,SensLang,4
73,gpt4-o,NegTarg2,['1']
73,gpt4-o,NegTarg1,1
73,gpt4-o,ArtBias,3
73,gpt4-o,Type,1
73,gpt4-o,HeadAcc1,4
74,gpt4-o,ArtBias,4
74,gpt4-o,HeadAcc1,3
74,gpt4-o,LedePres,1
74,gpt4-o,NegTarg1,1
74,gpt4-o,SensLang,4
74,gpt4-o,Type,1
74,gpt4-o,NegTarg2,['-1']
75,gpt4-o,LedePres,1
75,gpt4-o,NegTarg1,1
75,gpt4-o,NegTarg2,['4']
75,gpt4-o,SensLang,2
75,gpt4-o,Type,1
75,gpt4-o,ArtBias,3
75,gpt4-o,HeadAcc1,4
76,gpt4-o,LedePres,1
76,gpt4-o,NegTarg1,1
76,gpt4-o,Type,1
76,gpt4-o,ArtBias,3
76,gpt4-o,NegTarg2,['1']
76,gpt4-o,SensLang,4
76,gpt4-o,HeadAcc1,4
77,gpt4-o,NegTarg2,['-1']
77,gpt4-o,ArtBias,4
77,gpt4-o,Type,1
77,gpt4-o,NegTarg1,1
77,gpt4-o,SensLang,3
77,gpt4-o,LedePres,1
77,gpt4-o,HeadAcc1,4
78,gpt4-o,Type,1
78,gpt4-o,NegTarg1,1
78,gpt4-o,NegTarg2,['-1']
78,gpt4-o,SensLang,4
78,gpt4-o,LedePres,2
78,gpt4-o,ArtBias,4
78,gpt4-o,HeadAcc1,4
79,gpt4-o,Type,1
79,gpt4-o,HeadAcc1,4
79,gpt4-o,ArtBias,4
79,gpt4-o,NegTarg1,1
79,gpt4-o,NegTarg2,['4']
79,gpt4-o,LedePres,2
79,gpt4-o,SensLang,3
80,gpt4-o,SensLang,4
80,gpt4-o,Type,1
80,gpt4-o,NegTarg1,1
80,gpt4-o,ArtBias,4
80,gpt4-o,LedePres,1
80,gpt4-o,HeadAcc1,4
80,gpt4-o,NegTarg2,['-1']
81,gpt4-o,NegTarg2,['-1']
81,gpt4-o,NegTarg1,1
81,gpt4-o,HeadAcc1,4
81,gpt4-o,Type,1
81,gpt4-o,SensLang,3
81,gpt4-o,LedePres,1
81,gpt4-o,ArtBias,4
82,gpt4-o,HeadAcc1,3
82,gpt4-o,NegTarg1,1
82,gpt4-o,NegTarg2,['-1']
82,gpt4-o,ArtBias,4
82,gpt4-o,SensLang,4
82,gpt4-o,Type,1
82,gpt4-o,LedePres,1
83,gpt4-o,SensLang,3
83,gpt4-o,ArtBias,3
83,gpt4-o,Type,1
83,gpt4-o,HeadAcc1,4
83,gpt4-o,NegTarg2,['-1']
83,gpt4-o,LedePres,2
83,gpt4-o,NegTarg1,1
84,gpt4-o,NegTarg2,['-1']
84,gpt4-o,ArtBias,2
84,gpt4-o,HeadAcc1,3
84,gpt4-o,NegTarg1,1
84,gpt4-o,LedePres,1
84,gpt4-o,Type,2
84,gpt4-o,SensLang,2
85,gpt4-o,NegTarg1,1
85,gpt4-o,ArtBias,3
85,gpt4-o,HeadAcc1,4
85,gpt4-o,Type,1
85,gpt4-o,LedePres,2
85,gpt4-o,SensLang,3
85,gpt4-o,NegTarg2,['4']
86,gpt4-o,ArtBias,4
86,gpt4-o,NegTarg1,1
86,gpt4-o,SensLang,4
86,gpt4-o,HeadAcc1,4
86,gpt4-o,LedePres,2
86,gpt4-o,NegTarg2,['-1']
86,gpt4-o,Type,1
87,gpt4-o,Type,1
87,gpt4-o,HeadAcc1,3
87,gpt4-o,NegTarg2,['1']
87,gpt4-o,NegTarg1,2
87,gpt4-o,ArtBias,3
87,gpt4-o,LedePres,1
87,gpt4-o,SensLang,3
88,gpt4-o,Type,5
88,gpt4-o,LedePres,1
88,gpt4-o,HeadAcc1,3
88,gpt4-o,ArtBias,2
88,gpt4-o,SensLang,2
88,gpt4-o,NegTarg2,['4']
88,gpt4-o,NegTarg1,2
89,gpt4-o,ArtBias,4
89,gpt4-o,HeadAcc1,4
89,gpt4-o,LedePres,1
89,gpt4-o,Type,1
89,gpt4-o,SensLang,4
89,gpt4-o,NegTarg1,1
89,gpt4-o,NegTarg2,['-1']
90,gpt4-o,ArtBias,4
90,gpt4-o,Type,1
90,gpt4-o,SensLang,3
90,gpt4-o,HeadAcc1,4
90,gpt4-o,NegTarg2,['4']
90,gpt4-o,LedePres,2
90,gpt4-o,NegTarg1,1
91,gpt4-o,SensLang,3
91,gpt4-o,NegTarg2,['1']
91,gpt4-o,LedePres,2
91,gpt4-o,Type,1
91,gpt4-o,NegTarg1,1
91,gpt4-o,HeadAcc1,3
91,gpt4-o,ArtBias,3
92,gpt4-o,LedePres,1
92,gpt4-o,ArtBias,3
92,gpt4-o,HeadAcc1,3
92,gpt4-o,SensLang,3
92,gpt4-o,Type,1
92,gpt4-o,NegTarg2,['-1']
92,gpt4-o,NegTarg1,1
93,gpt4-o,SensLang,1
93,gpt4-o,NegTarg2,['1']
93,gpt4-o,NegTarg1,2
93,gpt4-o,LedePres,1
93,gpt4-o,HeadAcc1,3
93,gpt4-o,ArtBias,1
93,gpt4-o,Type,2
94,gpt4-o,Type,2
94,gpt4-o,NegTarg2,['3']
94,gpt4-o,LedePres,1
94,gpt4-o,ArtBias,1
94,gpt4-o,HeadAcc1,3
94,gpt4-o,NegTarg1,2
94,gpt4-o,SensLang,2
95,gpt4-o,HeadAcc1,4
95,gpt4-o,SensLang,3
95,gpt4-o,ArtBias,3
95,gpt4-o,Type,1
95,gpt4-o,NegTarg2,['-1']
95,gpt4-o,LedePres,1
95,gpt4-o,NegTarg1,1
96,gpt4-o,HeadAcc1,4
96,gpt4-o,NegTarg1,1
96,gpt4-o,LedePres,1
96,gpt4-o,NegTarg2,['-1']
96,gpt4-o,Type,1
96,gpt4-o,SensLang,4
96,gpt4-o,ArtBias,4
98,gpt4-o,ArtBias,4
98,gpt4-o,Type,1
98,gpt4-o,SensLang,4
98,gpt4-o,NegTarg2,['3']
98,gpt4-o,HeadAcc1,4
98,gpt4-o,LedePres,2
98,gpt4-o,NegTarg1,1
99,gpt4-o,Type,1
99,gpt4-o,SensLang,3
99,gpt4-o,NegTarg2,['-1']
99,gpt4-o,HeadAcc1,4
99,gpt4-o,ArtBias,4
99,gpt4-o,LedePres,2
99,gpt4-o,NegTarg1,1
100,gpt4-o,NegTarg1,1
100,gpt4-o,Type,1
100,gpt4-o,LedePres,1
100,gpt4-o,NegTarg2,['-1']
100,gpt4-o,SensLang,3
100,gpt4-o,HeadAcc1,4
100,gpt4-o,ArtBias,3
101,gpt4-o,LedePres,2
101,gpt4-o,NegTarg2,['4']
101,gpt4-o,NegTarg1,1
101,gpt4-o,HeadAcc1,3
101,gpt4-o,ArtBias,3
101,gpt4-o,Type,1
101,gpt4-o,SensLang,2
102,gpt4-o,SensLang,3
102,gpt4-o,NegTarg2,['1']
102,gpt4-o,Type,3
102,gpt4-o,ArtBias,2
102,gpt4-o,NegTarg1,1
102,gpt4-o,LedePres,1
102,gpt4-o,HeadAcc1,4
103,gpt4-o,NegTarg1,2
103,gpt4-o,ArtBias,2
103,gpt4-o,LedePres,2
103,gpt4-o,NegTarg2,['4']
103,gpt4-o,HeadAcc1,4
103,gpt4-o,SensLang,2
103,gpt4-o,Type,1
104,gpt4-o,NegTarg1,1
104,gpt4-o,LedePres,2
104,gpt4-o,HeadAcc1,4
104,gpt4-o,SensLang,4
104,gpt4-o,NegTarg2,['-1']
104,gpt4-o,Type,1
104,gpt4-o,ArtBias,3
105,gpt4-o,ArtBias,4
105,gpt4-o,SensLang,4
105,gpt4-o,NegTarg1,1
105,gpt4-o,HeadAcc1,4
105,gpt4-o,Type,1
105,gpt4-o,NegTarg2,['4']
105,gpt4-o,LedePres,1
106,gpt4-o,ArtBias,4
106,gpt4-o,NegTarg2,['4']
106,gpt4-o,SensLang,3
106,gpt4-o,NegTarg1,1
106,gpt4-o,HeadAcc1,4
106,gpt4-o,Type,1
106,gpt4-o,LedePres,2
107,gpt4-o,LedePres,1
107,gpt4-o,SensLang,4
107,gpt4-o,Type,1
107,gpt4-o,ArtBias,3
107,gpt4-o,HeadAcc1,4
107,gpt4-o,NegTarg1,1
107,gpt4-o,NegTarg2,['1']
108,gpt4-o,ArtBias,3
108,gpt4-o,SensLang,3
108,gpt4-o,Type,1
108,gpt4-o,NegTarg2,['-1']
108,gpt4-o,NegTarg1,1
108,gpt4-o,HeadAcc1,4
108,gpt4-o,LedePres,2
109,gpt4-o,NegTarg1,1
109,gpt4-o,LedePres,2
109,gpt4-o,HeadAcc1,4
109,gpt4-o,ArtBias,4
109,gpt4-o,NegTarg2,['-1']
109,gpt4-o,SensLang,4
109,gpt4-o,Type,1
111,gpt4-o,LedePres,2
111,gpt4-o,HeadAcc1,4
111,gpt4-o,ArtBias,3
111,gpt4-o,NegTarg1,1
111,gpt4-o,SensLang,3
111,gpt4-o,Type,1
111,gpt4-o,NegTarg2,['2']
112,gpt4-o,Type,1
112,gpt4-o,NegTarg2,['4']
112,gpt4-o,HeadAcc1,4
112,gpt4-o,LedePres,1
112,gpt4-o,ArtBias,2
112,gpt4-o,NegTarg1,1
112,gpt4-o,SensLang,3
113,gpt4-o,NegTarg2,['4']
113,gpt4-o,LedePres,1
113,gpt4-o,NegTarg1,1
113,gpt4-o,HeadAcc1,3
113,gpt4-o,ArtBias,3
113,gpt4-o,SensLang,3
113,gpt4-o,Type,1
114,gpt4-o,ArtBias,4
114,gpt4-o,HeadAcc1,4
114,gpt4-o,LedePres,2
114,gpt4-o,Type,1
114,gpt4-o,NegTarg2,['-1']
114,gpt4-o,NegTarg1,1
114,gpt4-o,SensLang,3
115,gpt4-o,SensLang,3
115,gpt4-o,NegTarg2,['1']
115,gpt4-o,NegTarg1,1
115,gpt4-o,LedePres,2
115,gpt4-o,ArtBias,3
115,gpt4-o,HeadAcc1,4
115,gpt4-o,Type,1
116,gpt4-o,ArtBias,4
116,gpt4-o,HeadAcc1,4
116,gpt4-o,NegTarg2,['-1']
116,gpt4-o,SensLang,4
116,gpt4-o,Type,1
116,gpt4-o,NegTarg1,1
116,gpt4-o,LedePres,2
117,gpt4-o,SensLang,3
117,gpt4-o,ArtBias,4
117,gpt4-o,HeadAcc1,4
117,gpt4-o,Type,1
117,gpt4-o,NegTarg2,['1']
117,gpt4-o,NegTarg1,1
117,gpt4-o,LedePres,2
118,gpt4-o,NegTarg1,1
118,gpt4-o,LedePres,2
118,gpt4-o,Type,1
118,gpt4-o,SensLang,4
118,gpt4-o,NegTarg2,['2']
118,gpt4-o,ArtBias,3
118,gpt4-o,HeadAcc1,4
119,gpt4-o,LedePres,2
